,PLAYER_NAME,CURR_GP,CURR_MIN,CURR_FTR,TEAM_ABBREVIATION,PAST_GP,PAST_MIN,PAST_FTR,FTR_DIFF,CURR_FTA,PAST_FTA,FTA_DIFF
251,Christian Wood,22,697.0,0.263,HOU,17,530.0,0.295,-0.03199999999999997,4.4,4.3,0.10000000000000053
252,Dylan Windler,17,184.0,0.06,CLE,10,165.0,0.092,-0.032,0.8,1.5,-0.7
253,Talen Horton-Tucker,10,288.0,0.139,LAL,19,310.0,0.171,-0.032,2.5,2.6,-0.10000000000000009
254,Jaden McDaniels,20,506.0,0.052,MIN,16,271.0,0.084,-0.03200000000000001,0.8,1.2,-0.3999999999999999
255,Devonte' Graham,21,647.0,0.162,CHA,23,773.0,0.196,-0.034,2.7,3.3,-0.5999999999999996
256,Wayne Ellington,15,312.0,0.029,DET,16,375.0,0.063,-0.034,0.5,1.2,-0.7
257,D'Angelo Russell,21,686.0,0.261,MIN,19,578.0,0.296,-0.034999999999999976,4.0,4.0,0.0
258,Collin Sexton,11,316.0,0.312,CLE,18,631.0,0.347,-0.034999999999999976,4.4,5.7,-1.2999999999999998
259,Robert Williams III,15,448.0,0.139,BOS,16,245.0,0.176,-0.03699999999999998,1.8,1.9,-0.09999999999999987
260,Bruce Brown,19,435.0,0.065,BKN,20,359.0,0.102,-0.03699999999999999,1.0,1.8,-0.8
261,Solomon Hill,12,135.0,0.0,ATL,22,436.0,0.037,-0.037,0.0,0.7,-0.7
262,Saben Lee,8,93.0,0.196,DET,6,59.0,0.235,-0.03899999999999998,3.9,4.9,-1.0000000000000004
263,Abdel Nader,14,145.0,0.208,PHX,9,160.0,0.247,-0.03900000000000001,2.5,4.1,-1.5999999999999996
264,Karl-Anthony Towns,22,754.0,0.369,MIN,4,132.0,0.41,-0.04099999999999998,5.5,6.8,-1.2999999999999998
265,Gorgui Dieng,20,164.0,0.192,SAS,14,267.0,0.233,-0.04100000000000001,3.1,2.8,0.30000000000000027
266,Gary Harris,18,453.0,0.075,ORL,18,553.0,0.118,-0.043,1.0,2.0,-1.0
267,Mychal Mulder,11,116.0,0.043,GSW,21,212.0,0.087,-0.044,0.6,1.9,-1.2999999999999998
268,Robert Covington,23,610.0,0.012,POR,19,584.0,0.056,-0.044,0.2,0.9,-0.7
269,Coby White,9,158.0,0.121,CHI,21,710.0,0.165,-0.04400000000000001,1.6,2.5,-0.8999999999999999
270,Jonas Valanciunas,24,750.0,0.332,MEM,12,321.0,0.378,-0.045999999999999985,4.4,5.4,-1.0
271,Dennis Smith Jr.,12,157.0,0.254,DET,3,28.0,0.3,-0.045999999999999985,3.9,7.8,-3.9
272,Doug McDermott,13,328.0,0.088,IND,23,587.0,0.134,-0.04600000000000001,1.0,2.1,-1.1
273,De'Aaron Fox,23,800.0,0.314,SAC,21,684.0,0.361,-0.046999999999999986,5.7,7.3,-1.5999999999999996
274,Chandler Hutchison,3,9.0,0.0,WAS,7,64.0,0.047,-0.047,0.0,1.1,-1.1
275,Malik Monk,23,558.0,0.085,CHA,10,183.0,0.133,-0.048,1.5,2.8,-1.2999999999999998
276,Marvin Bagley III,8,140.0,0.188,SAC,21,535.0,0.238,-0.04999999999999999,3.1,4.2,-1.1
277,Tony Bradley,17,222.0,0.066,OKC,9,115.0,0.116,-0.05,0.8,1.6,-0.8
278,Taurean Prince,21,320.0,0.133,CLE,22,484.0,0.186,-0.05299999999999999,1.9,3.6,-1.7000000000000002
279,Javonte Green,23,474.0,0.13,CHI,12,207.0,0.183,-0.05299999999999999,1.8,3.0,-1.2
280,Carmelo Anthony,23,659.0,0.173,POR,20,515.0,0.226,-0.05300000000000002,2.9,4.0,-1.1
281,Julius Randle,22,779.0,0.329,NYK,23,845.0,0.384,-0.05499999999999999,5.0,6.4,-1.4000000000000004
282,Nerlens Noel,9,216.0,0.08,NYK,20,350.0,0.135,-0.05500000000000001,1.5,2.0,-0.5
283,Mo Bamba,23,686.0,0.103,ORL,8,47.0,0.158,-0.05500000000000001,1.3,2.3,-0.9999999999999998
284,George Hill,22,600.0,0.116,PHI,14,369.0,0.176,-0.059999999999999984,1.7,2.4,-0.7
285,Justin Holiday,23,647.0,0.053,IND,23,726.0,0.115,-0.062000000000000006,0.6,1.6,-1.0
286,Duncan Robinson,23,656.0,0.054,MIA,22,732.0,0.118,-0.064,0.8,1.8,-1.0
