,PLAYER_NAME,CURR_GP,CURR_MIN,CURR_FTR,TEAM_ABBREVIATION,PAST_GP,PAST_MIN,PAST_FTR,FTR_DIFF,CURR_FTA,PAST_FTA,FTA_DIFF
48,Josh Hart,19,572.0,0.224,NOP,21,574.0,0.125,0.099,2.9,2.4,0.5
49,Damion Lee,15,315.0,0.189,GSW,22,411.0,0.09,0.099,2.4,1.8,0.5999999999999999
50,Steven Adams,22,533.0,0.27,NOP,20,605.0,0.174,0.09600000000000003,3.6,3.0,0.6000000000000001
51,Raul Neto,22,435.0,0.166,WAS,14,249.0,0.07,0.096,2.7,1.3,1.4000000000000001
52,Harrison Barnes,19,665.0,0.346,SAC,21,747.0,0.251,0.09499999999999997,6.7,4.6,2.1000000000000005
53,Theo Maledon,12,155.0,0.197,OKC,20,445.0,0.103,0.09400000000000001,2.8,1.5,1.2999999999999998
54,Bobby Portis,18,503.0,0.201,MIL,22,478.0,0.108,0.09300000000000001,2.9,1.7,1.2
55,Georges Niang,23,574.0,0.12,UTA,23,281.0,0.027,0.093,1.8,0.4,1.4
56,Nikola Jokic,16,523.0,0.45,DEN,21,750.0,0.361,0.08900000000000002,5.9,5.7,0.20000000000000018
57,Trey Lyles,22,351.0,0.266,SAS,12,130.0,0.177,0.08900000000000002,5.1,3.0,2.0999999999999996
58,Trey Burke,11,120.0,0.224,DAL,22,433.0,0.136,0.088,3.3,2.2,1.0999999999999996
59,Jae'Sean Tate,22,617.0,0.212,HOU,21,546.0,0.125,0.087,3.2,2.1,1.1
60,Jerami Grant,21,694.0,0.426,DET,22,785.0,0.341,0.08499999999999996,6.7,6.5,0.20000000000000018
61,Cole Anthony,18,619.0,0.297,ORL,23,624.0,0.213,0.08399999999999999,4.1,3.2,0.8999999999999995
62,Mitchell Robinson,19,487.0,0.211,NYK,23,663.0,0.129,0.08199999999999999,3.0,2.2,0.7999999999999998
63,Darius Garland,21,727.0,0.175,CLE,15,480.0,0.094,0.08099999999999999,2.5,1.6,0.8999999999999999
64,Eric Bledsoe,22,614.0,0.203,NOP,20,598.0,0.124,0.07900000000000001,2.6,2.3,0.30000000000000027
65,Norman Powell,19,552.0,0.322,POR,20,532.0,0.243,0.07900000000000001,5.0,4.4,0.5999999999999996
66,Sam Merrill,6,58.0,0.174,MIL,9,55.0,0.095,0.07899999999999999,2.5,1.3,1.2
67,John Collins,23,741.0,0.248,ATL,22,694.0,0.171,0.07699999999999999,3.8,3.1,0.6999999999999997
68,Kenrich Williams,19,383.0,0.168,OKC,21,298.0,0.092,0.07600000000000001,2.6,1.7,0.9000000000000001
69,Garrett Temple,22,402.0,0.155,CHI,20,529.0,0.081,0.074,2.0,1.4,0.6000000000000001
70,Jayson Tatum,22,806.0,0.331,BOS,16,569.0,0.258,0.07300000000000001,5.4,4.0,1.4000000000000004
71,Deni Avdija,23,500.0,0.123,WAS,15,343.0,0.05,0.073,2.3,0.9,1.4
72,Aleksej Pokusevski,22,324.0,0.073,OKC,17,296.0,0.0,0.073,0.9,0.0,0.9
73,Dejounte Murray,20,694.0,0.23,SAS,22,669.0,0.158,0.07200000000000001,2.6,2.3,0.30000000000000027
74,Seth Curry,21,713.0,0.167,PHI,16,438.0,0.096,0.07100000000000001,2.6,2.1,0.5
75,Luguentz Dort,21,680.0,0.245,OKC,20,557.0,0.176,0.069,3.9,2.7,1.1999999999999997
76,Timothe Luwawu-Cabarrot,16,96.0,0.158,BKN,24,450.0,0.09,0.068,2.2,1.4,0.8000000000000003
77,Draymond Green,20,602.0,0.167,GSW,18,491.0,0.1,0.067,2.7,1.7,1.0000000000000002
78,LaMarcus Aldridge,21,486.0,0.177,BKN,18,480.0,0.113,0.06399999999999999,3.0,1.6,1.4
79,Paul Watson,3,71.0,0.063,TOR,10,33.0,0.0,0.063,1.0,0.0,1.0
80,Caris LeVert,17,464.0,0.243,IND,12,334.0,0.18,0.063,3.2,3.7,-0.5
81,Andrew Wiggins,21,637.0,0.291,GSW,22,696.0,0.229,0.06199999999999997,4.6,3.9,0.6999999999999997
82,Larry Nance Jr.,23,449.0,0.146,CLE,18,612.0,0.086,0.06,2.2,1.2,1.0000000000000002
83,Paul George,21,745.0,0.351,LAC,20,680.0,0.291,0.06,4.6,4.4,0.1999999999999993
84,Killian Hayes,17,440.0,0.101,DET,7,148.0,0.042,0.059000000000000004,1.3,0.5,0.8
85,David Nwaba,15,176.0,0.214,HOU,17,384.0,0.155,0.059,4.5,3.0,1.5
86,Chris Paul,22,711.0,0.306,PHX,21,680.0,0.247,0.059,4.2,3.3,0.9000000000000004
87,Furkan Korkmaz,22,514.0,0.139,PHI,12,235.0,0.081,0.05800000000000001,1.7,1.7,0.0
88,Caleb Martin,20,356.0,0.194,CHA,20,305.0,0.136,0.057999999999999996,2.6,2.5,0.10000000000000009
89,Giannis Antetokounmpo,21,686.0,0.667,MIL,21,690.0,0.61,0.05700000000000005,11.2,10.7,0.5
90,Gary Trent Jr.,21,723.0,0.145,TOR,19,536.0,0.09,0.05499999999999999,2.1,1.5,0.6000000000000001
91,Tristan Thompson,15,212.0,0.261,BOS,19,430.0,0.207,0.05400000000000002,5.1,3.5,1.5999999999999996
92,JaMychal Green,20,296.0,0.231,DEN,17,366.0,0.178,0.05300000000000002,2.2,3.1,-0.8999999999999999
93,Isaiah Joe,13,124.0,0.121,PHI,12,194.0,0.069,0.05199999999999999,1.2,0.9,0.29999999999999993
94,Joel Embiid,13,422.0,0.636,PHI,18,574.0,0.585,0.051000000000000045,10.7,12.6,-1.9000000000000004
95,Maurice Harkless,16,327.0,0.093,SAC,9,96.0,0.042,0.051,1.2,0.8,0.3999999999999999
96,Thaddeus Young,17,265.0,0.19,CHI,17,432.0,0.139,0.05099999999999999,2.2,2.1,0.10000000000000009
97,Lonnie Walker IV,20,445.0,0.182,SAS,22,610.0,0.131,0.05099999999999999,2.2,1.9,0.30000000000000027
98,Spencer Dinwiddie,20,592.0,0.209,BKN,3,64.0,0.158,0.05099999999999999,3.2,3.4,-0.19999999999999973
99,DeMar DeRozan,23,808.0,0.492,SAS,20,673.0,0.441,0.05099999999999999,7.8,7.2,0.5999999999999996
100,Richaun Holmes,20,559.0,0.216,SAC,20,610.0,0.166,0.04999999999999999,3.5,3.0,0.5
101,Jordan McLaughlin,16,165.0,0.109,MIN,11,189.0,0.06,0.049,1.5,1.0,0.5
102,Russell Westbrook,23,833.0,0.338,WAS,13,433.0,0.29,0.04800000000000004,5.7,5.9,-0.20000000000000018
103,Ricky Rubio,23,671.0,0.224,MIN,20,469.0,0.176,0.048000000000000015,3.9,3.0,0.8999999999999999
104,Enes Freedom,11,140.0,0.254,POR,21,496.0,0.206,0.048000000000000015,4.1,3.6,0.49999999999999956
105,Max Strus,16,334.0,0.106,MIA,13,181.0,0.058,0.047999999999999994,1.4,1.0,0.3999999999999999
106,Isaac Okoro,16,474.0,0.18,CLE,18,625.0,0.133,0.046999999999999986,2.7,2.1,0.6000000000000001
107,Cam Reddish,21,472.0,0.23,ATL,18,516.0,0.184,0.04600000000000001,3.5,3.8,-0.2999999999999998
108,Tyus Jones,22,377.0,0.094,MEM,17,426.0,0.048,0.046,1.1,0.6,0.5000000000000001
109,Naz Reid,21,354.0,0.323,MIN,20,449.0,0.277,0.045999999999999985,4.1,3.9,0.19999999999999973
110,Tyrese Haliburton,21,697.0,0.089,SAC,19,549.0,0.044,0.045,1.4,0.8,0.5999999999999999
111,Miye Oni,10,30.0,0.077,UTA,17,126.0,0.033,0.044,1.2,0.6,0.6
112,James Harden,22,781.0,0.435,BKN,18,692.0,0.393,0.04199999999999998,7.4,7.0,0.40000000000000036
113,Aaron Nesmith,17,157.0,0.041,BOS,9,115.0,0.0,0.041,0.5,0.0,0.5
114,Terence Davis,15,231.0,0.12,SAC,16,219.0,0.079,0.040999999999999995,1.7,1.3,0.3999999999999999
115,Isaiah Roby,12,160.0,0.224,OKC,18,361.0,0.184,0.04000000000000001,3.8,3.2,0.5999999999999996
116,Rodney Hood,16,227.0,0.065,TOR,18,330.0,0.025,0.04,1.1,0.3,0.8
117,Anthony Edwards,23,837.0,0.243,MIN,22,583.0,0.204,0.03900000000000001,3.5,2.8,0.7000000000000002
118,Khris Middleton,15,458.0,0.258,MIL,22,712.0,0.219,0.03900000000000001,4.6,3.5,1.0999999999999996
119,Mason Plumlee,20,523.0,0.255,DET,22,577.0,0.216,0.03900000000000001,3.6,3.6,0.0
120,Juan Toscano-Anderson,20,307.0,0.116,GSW,9,165.0,0.077,0.03900000000000001,1.5,1.3,0.19999999999999996
121,Derrick White,20,624.0,0.163,SAS,4,91.0,0.125,0.038000000000000006,2.2,2.4,-0.19999999999999973
122,Buddy Hield,23,668.0,0.132,SAC,21,726.0,0.095,0.037000000000000005,2.4,1.6,0.7999999999999998
123,Jordan Clarkson,21,527.0,0.178,UTA,23,580.0,0.142,0.036000000000000004,3.1,2.2,0.8999999999999999
124,Rodney McGruder,9,48.0,0.074,DET,6,51.0,0.038,0.036,1.5,0.7,0.8
125,T.J. McConnell,24,581.0,0.071,IND,20,442.0,0.035,0.03599999999999999,0.9,0.6,0.30000000000000004
126,Tobias Harris,14,477.0,0.18,PHI,20,675.0,0.146,0.034,3.1,3.1,0.0
127,Pat Connaughton,23,663.0,0.074,MIL,19,335.0,0.04,0.033999999999999996,1.2,0.6,0.6
128,Rudy Gobert,21,660.0,0.44,UTA,23,682.0,0.407,0.03300000000000003,7.4,6.4,1.0
129,Chuma Okeke,18,379.0,0.136,ORL,7,127.0,0.103,0.033000000000000015,2.2,1.7,0.5000000000000002
130,Kentavious Caldwell-Pope,23,666.0,0.119,LAL,19,461.0,0.086,0.033,1.7,1.5,0.19999999999999996
131,Dorian Finney-Smith,20,617.0,0.086,DAL,14,408.0,0.054,0.031999999999999994,1.2,1.0,0.19999999999999996
132,Cory Joseph,22,473.0,0.165,DET,21,405.0,0.134,0.031,3.1,2.2,0.8999999999999999
133,Nickeil Alexander-Walker,24,694.0,0.184,NOP,19,400.0,0.153,0.031,2.5,2.7,-0.20000000000000018
134,Amir Coffey,16,207.0,0.229,LAC,16,92.0,0.2,0.028999999999999998,3.3,2.8,0.5
135,Cody Martin,22,542.0,0.154,CHA,14,136.0,0.125,0.028999999999999998,2.3,2.1,0.19999999999999973
136,Willy Hernangomez,10,129.0,0.291,NOP,6,78.0,0.263,0.02799999999999997,4.5,4.6,-0.09999999999999964
137,Dean Wade,16,358.0,0.051,CLE,18,160.0,0.024,0.026999999999999996,0.6,0.4,0.19999999999999996
138,Facundo Campazzo,20,366.0,0.184,DEN,20,240.0,0.157,0.026999999999999996,2.1,2.5,-0.3999999999999999
139,DeAndre' Bembry,21,425.0,0.099,TOR,13,132.0,0.074,0.02500000000000001,1.6,1.1,0.5
140,Ed Davis,9,77.0,0.1,MIN,17,255.0,0.075,0.02500000000000001,0.9,1.1,-0.20000000000000007
141,Ben McLemore,8,82.0,0.143,LAL,14,231.0,0.119,0.023999999999999994,2.2,1.6,0.6000000000000001
142,Ja Morant,19,619.0,0.429,MEM,9,252.0,0.405,0.023999999999999966,6.5,6.7,-0.20000000000000018
143,Keldon Johnson,20,630.0,0.317,SAS,22,666.0,0.296,0.02100000000000002,3.7,4.5,-0.7999999999999998
144,Bojan Bogdanovic,21,632.0,0.262,UTA,23,702.0,0.241,0.02100000000000002,4.3,3.6,0.6999999999999997
145,Jalen Brunson,19,542.0,0.223,DAL,19,449.0,0.202,0.02099999999999999,3.2,3.8,-0.5999999999999996
146,Tony Snell,17,188.0,0.02,ATL,11,113.0,0.0,0.02,0.2,0.0,0.2
147,OG Anunoby,15,560.0,0.196,TOR,17,592.0,0.179,0.017000000000000015,2.6,2.9,-0.2999999999999998
148,Serge Ibaka,8,105.0,0.2,LAC,23,569.0,0.183,0.017000000000000015,2.7,2.3,0.40000000000000036
149,Josh Okogie,15,242.0,0.177,MIN,16,347.0,0.16,0.016999999999999987,3.0,2.4,0.6000000000000001
150,Jimmy Butler,17,582.0,0.497,MIA,10,307.0,0.481,0.016000000000000014,9.1,8.7,0.40000000000000036
151,Rudy Gay,7,132.0,0.161,SAS,21,459.0,0.145,0.016000000000000014,2.7,2.3,0.40000000000000036
152,Maxi Kleber,11,241.0,0.122,DAL,12,289.0,0.106,0.016,1.8,2.0,-0.19999999999999996
153,Brad Wanamaker,13,158.0,0.2,CHA,22,363.0,0.185,0.015000000000000013,3.9,3.1,0.7999999999999998
154,Clint Capela,23,685.0,0.216,ATL,19,564.0,0.203,0.012999999999999984,2.9,3.7,-0.8000000000000003
155,Derrick Jones Jr.,19,318.0,0.181,POR,17,466.0,0.169,0.011999999999999983,3.4,2.6,0.7999999999999998
156,Sterling Brown,18,225.0,0.047,HOU,19,392.0,0.037,0.010000000000000002,0.6,0.6,0.0
157,Goran Dragic,5,90.0,0.213,MIA,17,451.0,0.203,0.009999999999999981,4.0,3.8,0.20000000000000018
158,Fred VanVleet,22,843.0,0.213,TOR,22,794.0,0.203,0.009999999999999981,2.9,3.1,-0.20000000000000018
159,Frank Ntilikina,15,213.0,0.146,NYK,4,42.0,0.136,0.009999999999999981,2.0,2.6,-0.6000000000000001
160,Terance Mann,21,595.0,0.176,LAC,21,241.0,0.167,0.00899999999999998,2.5,2.2,0.2999999999999998
161,Bam Adebayo,18,592.0,0.448,MIA,20,659.0,0.44,0.008000000000000007,6.8,6.6,0.20000000000000018
162,Brandon Ingram,17,583.0,0.336,NOP,21,735.0,0.329,0.007000000000000006,4.4,5.9,-1.5
163,Anthony Davis,22,786.0,0.386,LAL,20,661.0,0.379,0.007000000000000006,6.2,6.4,-0.20000000000000018
164,Dennis Schroder,21,696.0,0.24,LAL,23,703.0,0.233,0.0069999999999999785,3.8,3.9,-0.10000000000000009
165,Jevon Carter,22,288.0,0.03,PHX,19,231.0,0.024,0.005999999999999998,0.5,0.3,0.2
166,Cedi Osman,17,378.0,0.144,CLE,23,647.0,0.138,0.005999999999999978,2.3,1.9,0.3999999999999999
167,Darius Bazley,22,601.0,0.182,OKC,21,633.0,0.177,0.0050000000000000044,2.4,2.4,0.0
168,Kenyon Martin Jr.,21,326.0,0.127,HOU,7,69.0,0.122,0.0050000000000000044,2.3,2.6,-0.30000000000000027
169,Kevin Love,15,302.0,0.242,CLE,2,46.0,0.238,0.0040000000000000036,4.6,3.9,0.6999999999999997
170,Jrue Holiday,17,533.0,0.123,MIL,22,721.0,0.119,0.0040000000000000036,2.0,1.9,0.10000000000000009
171,Patrick Beverley,16,406.0,0.119,LAC,16,410.0,0.115,0.00399999999999999,1.5,1.8,-0.30000000000000004
172,Chris Boucher,21,283.0,0.266,TOR,22,494.0,0.263,0.0030000000000000027,3.7,4.5,-0.7999999999999998
173,Jaylen Brown,13,426.0,0.291,BOS,20,661.0,0.288,0.0030000000000000027,5.0,5.1,-0.09999999999999964
174,Isaiah Stewart,20,502.0,0.126,DET,20,360.0,0.125,0.0010000000000000009,1.7,2.5,-0.8
175,Paul Reed,14,137.0,0.0,PHI,5,55.0,0.0,0.0,0.0,0.0,0.0
176,Devontae Cacok,1,2.0,0.0,LAL,1,2.0,0.0,0.0,0.0,0.0,0.0
177,Keljin Blevins,2,8.0,0.0,POR,8,38.0,0.0,0.0,0.0,0.0,0.0
178,Anthony Gill,7,38.0,0.071,WAS,8,60.0,0.071,0.0,1.9,1.2,0.7
179,Devon Dotson,2,13.0,0.0,CHI,1,10.0,0.0,0.0,0.0,0.0,0.0
180,Andre Iguodala,12,250.0,0.06,MIA,20,426.0,0.061,-0.0010000000000000009,0.9,0.9,0.0
181,Goga Bitadze,16,138.0,0.254,IND,9,92.0,0.255,-0.0010000000000000009,4.4,4.7,-0.2999999999999998
182,Kevin Huerter,22,575.0,0.048,ATL,22,688.0,0.049,-0.0010000000000000009,0.6,0.9,-0.30000000000000004
183,Matisse Thybulle,16,408.0,0.037,PHI,20,336.0,0.038,-0.0010000000000000009,0.5,0.9,-0.4
184,Jarrett Allen,20,665.0,0.333,CLE,22,568.0,0.334,-0.0010000000000000009,4.8,6.3,-1.5
185,Tomas Satoransky,19,295.0,0.117,CHI,10,173.0,0.119,-0.001999999999999988,1.6,2.1,-0.5
186,Devin Vassell,18,450.0,0.131,SAS,21,371.0,0.134,-0.0030000000000000027,1.8,1.8,0.0
187,Daniel Theis,16,371.0,0.135,CHI,21,481.0,0.138,-0.0030000000000000027,2.1,2.3,-0.19999999999999973
188,Desmond Bane,22,625.0,0.102,MEM,17,385.0,0.105,-0.0030000000000000027,1.6,1.4,0.20000000000000018
189,Brandon Clarke,19,304.0,0.201,MEM,17,482.0,0.205,-0.003999999999999976,3.2,2.4,0.8000000000000003
190,Aaron Holiday,22,389.0,0.084,IND,23,466.0,0.088,-0.00399999999999999,1.4,1.4,0.0
191,Joe Harris,14,423.0,0.038,BKN,24,765.0,0.042,-0.0040000000000000036,0.5,0.7,-0.19999999999999996
192,Jeremy Lamb,18,245.0,0.246,IND,10,250.0,0.25,-0.0040000000000000036,4.1,3.9,0.19999999999999973
193,Luke Kennard,22,613.0,0.052,LAC,24,530.0,0.057,-0.0050000000000000044,0.7,0.8,-0.10000000000000009
194,Austin Rivers,18,314.0,0.051,DEN,17,412.0,0.056,-0.0050000000000000044,0.7,0.9,-0.20000000000000007
195,Kevin Durant,21,754.0,0.418,BKN,18,646.0,0.423,-0.0050000000000000044,7.3,7.9,-0.6000000000000005
196,Davis Bertans,13,215.0,0.143,WAS,16,392.0,0.148,-0.0050000000000000044,2.5,3.3,-0.7999999999999998
197,Tim Hardaway Jr.,20,652.0,0.169,DAL,22,691.0,0.175,-0.005999999999999978,2.3,2.9,-0.6000000000000001
198,Troy Brown Jr.,14,133.0,0.068,CHI,9,160.0,0.074,-0.0059999999999999915,1.1,1.3,-0.19999999999999996
199,Malachi Flynn,16,137.0,0.089,TOR,13,106.0,0.095,-0.006000000000000005,1.3,1.4,-0.09999999999999987
